0	0
10	9.55
20	27.1
30	49.87
40	76.85
50	107.46
60	141.29
70	178.04
80	217.47
90	259.38
100	303.6
110	350.01
120	398.47
130	448.87
140	501.12
150	555.13
160	610.82
170	668.13
180	726.97
190	787.3
200	849.06
210	912.19
220	976.63
230	1042.35
240	1109.29
250	1177.42
260	1246.68
270	1317.05
280	1388.48
290	1460.94
300	1534.38
310	1608.78
320	1684.11
330	1760.33
340	1837.4
350	1915.31
360	1994.02
370	2073.5
380	2153.73
390	2234.66
400	2316.28
410	2398.56
420	2481.46
430	2564.97
440	2649.06
450	2733.7
460	2818.87
470	2904.55
480	2990.71
490	3077.32
500	3164.37
510	3251.83
520	3339.68
530	3427.9
540	3516.47
550	3605.36
560	3694.56
570	3784.04
580	3873.78
590	3963.76
600	4053.96
610	4144.37
620	4234.95
630	4325.69
640	4416.57
650	4507.57
660	4597.84
670	4689.27
680	4780.8
690	4872.31
700	4963.67
710	5051.96
720	5146.24
730	5237.48
740	5328.66
750	5419.76
760	5510.76
770	5601.64
780	5692.38
790	5782.97
800	5873.37
810	5963.57
820	6053.55
830	6143.29
840	6232.77
850	6321.97
860	6410.86
870	6499.13
880	6587.65
890	6675.5
900	6762.96
910	6850.01
920	6936.63
930	7022.78
940	7108.46
950	7193.63
960	7278.27
970	7362.36
980	7445.87
990	7528.78
1000	7611.05
1010	7692.67
1020	7773.6
1030	7853.83
1040	7933.31
1050	8012.02
1060	8089.93
1070	8167.01
1080	8243.22
1090	8318.55
1100	8392.95
1110	8466.4
1200	9224
1330	9920
1400	10000
1410	10000
1420	10000
1430	10000
1440	10000
1450	10000
