0	0
10	9.57
20	27.14
30	49.95
40	76.98
50	107.64
60	141.52
70	178.33
80	217.82
90	259.8
100	304.09
110	350.57
120	399.11
130	449.59
140	501.92
150	556.02
160	611.79
170	669.19
180	728.13
190	788.56
200	850.41
210	913.63
220	978.18
230	1044
240	1111.05
250	1179.28
260	1248.65
270	1319.13
280	1390.67
290	1463.24
300	1536.8
310	1611.63
320	1686.76
330	1763.1
340	1840.29
350	1918.32
360	1997.15
370	2076.75
380	2157.11
390	2238.16
400	2319.91
410	2402.31
420	2485.35
430	2568.99
440	2653.2
450	2737.98
460	2823.28
470	2909.08
480	2995.37
490	3082.12
500	3169.31
510	3256.9
520	3344.89
530	3433.25
540	3521.95
550	3610.98
560	3700.31
570	3789.93
580	3879.81
590	3969.93
600	4060.27
610	4150.8
620	4241.53
630	4332.41
640	4423.43
650	4514.56
660	4604.98
670	4696.55
680	4788.22
690	4879.87
700	4971.36
710	5062.8
720	5154.22
730	5245.6
740	5336.92
750	5428.16
760	5519.3
770	5610.32
780	5701.2
790	5791.92
800	5882.46
810	5972.8
820	6062.92
830	6152.8
840	6242.42
850	6331.75
860	6420.78
870	6509.48
880	6597.84
890	6685.83
900	6773.42
910	6860.61
920	6947.35
930	7033.64
940	7119.45
950	7204.75
960	7289.52
970	7373.74
980	7457.38
990	7540.42
1000	7622.82
1010	7704.56
1020	7785.62
1030	7865.97
1040	7945.58
1050	8024.41
1060	8102.43
1070	8179.63
1080	8255.96
1090	8331.41
1100	8405.93
1110	8479.49
1200	9224
1330	9920
1390	10000
1400	10000
1420	10000
